"id","name","file","file_size","map_type","analysis_level","modality","target_template_image","description"
"838600","PIP Subject0026 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0026_LookNeg_Beta.nii.gz","1989260","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838601","PIP Subject0026 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0026_LookNeu_Beta.nii.gz","1988397","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838602","PIP Subject0026 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0026_RegNeg_Beta.nii.gz","1988626","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838603","PIP Subject0027 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0027_LookNeg_Beta.nii.gz","1925320","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838604","PIP Subject0027 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0027_LookNeu_Beta.nii.gz","1925117","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838605","PIP Subject0027 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0027_RegNeg_Beta.nii.gz","1924728","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838606","PIP Subject0028 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0028_LookNeg_Beta.nii.gz","1882545","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838607","PIP Subject0028 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0028_LookNeu_Beta.nii.gz","1883119","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838608","PIP Subject0028 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0028_RegNeg_Beta.nii.gz","1882407","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838609","PIP Subject0029 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0029_LookNeg_Beta.nii.gz","1877824","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838610","PIP Subject0029 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0029_LookNeu_Beta.nii.gz","1877825","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838611","PIP Subject0029 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0029_RegNeg_Beta.nii.gz","1878260","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838612","PIP Subject0030 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0030_LookNeg_Beta.nii.gz","1871369","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838613","PIP Subject0030 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0030_LookNeu_Beta.nii.gz","1871033","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838614","PIP Subject0030 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0030_RegNeg_Beta.nii.gz","1870993","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838615","PIP Subject0031 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0031_LookNeg_Beta.nii.gz","1961509","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838616","PIP Subject0031 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0031_LookNeu_Beta.nii.gz","1961816","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838617","PIP Subject0031 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0031_RegNeg_Beta.nii.gz","1962563","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
"838618","PIP Subject0032 LookNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0032_LookNeg_Beta.nii.gz","1987706","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0001) - Sn(1) Look Negative Picture*bf(1)'"
"838619","PIP Subject0032 LookNeu Beta","http://neurovault.org/media/images/16266/PIP_Subject0032_LookNeu_Beta.nii.gz","1987069","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0002) - Sn(1) Look Neutral Picture*bf(1)'"
"838620","PIP Subject0032 RegNeg Beta","http://neurovault.org/media/images/16266/PIP_Subject0032_RegNeg_Beta.nii.gz","1988528","univariate-beta map","single-subject","fMRI-BOLD","MNI152NLin2009cAsym","b'spm_spm:beta (0003) - Sn(1) Reg Negative Picture*bf(1)'"
