dataset,subject,Age,Sex,ERQReappraisal,ERQSuppression,strategy1_reappraise_yn_final,strategy1_best_fit_final,reg_rating,look_neg_rating,look_neu_rating,reg_success,emotion_reactivity
AHAB,100,30.4109589041096,-1,26,24,1,1,2.33333333333333,3,1,0.66666666666667,2
AHAB,101,43.2821917808219,-1,31,14,1,1,1.86666666666667,3.4,1,1.53333333333333,2.4
AHAB,102,42.6547945205479,-1,34,19,1,3,3.13333333333333,3.93333333333333,1.2,0.8,2.73333333333333
AHAB,103,34.7424657534247,-1,18,21,1,1,3.33333333333333,4.2,1.53846153846154,0.86666666666667,2.66153846153846
AHAB,104,32.4849315068493,-1,25,23,1,1,2.92857142857143,3.6,1,0.67142857142857,2.6
AHAB,105,51.9534246575342,1,36,14,1,1,3.69230769230769,3.92857142857143,1.28571428571429,0.23626373626374,2.64285714285714
AHAB,106,54.2246575342466,-1,27,14,1,2,2.76923076923077,3.25,1,0.48076923076923,2.25
AHAB,107,35.5178082191781,-1,24,20,1,2,2.33333333333333,3,1,0.66666666666667,2
AHAB,108,47.0219178082192,1,31,10,1,3,3,3.93333333333333,1.33333333333333,0.93333333333333,2.6
AHAB,109,49.4849315068493,1,42,26,0,9,2.06666666666667,2.8,1.06666666666667,0.73333333333333,1.73333333333333
AHAB,110,41.427397260274,1,26,11,1,1,2.93333333333333,4.06666666666667,1.26666666666667,1.13333333333334,2.8
AHAB,111,51.3178082191781,1,35,5,1,1,3.21428571428571,3.73333333333333,1.53846153846154,0.51904761904762,2.19487179487179
AHAB,112,46.3780821917808,1,28,11,1,8,2.61538461538462,2.64285714285714,1.07692307692308,0.0274725274725203,1.56593406593406
