SubID,Sample,Age,Sex,ERQReappraisal,ERQSuppression,strategy1_reappraise_yn_final,strategy1_best_fit_final,RegNeg_Rating,LookNeg_Rating,LookNeuRating
111,AHAB,51.3178082191781,1,35,5,1,1,3.21428571428571,3.73333333333333,1.53846153846154
112,AHAB,46.3780821917808,1,28,11,1,8,2.61538461538462,2.64285714285714,1.07692307692308
113,AHAB,47.6520547945205,-1,24,17,1,7,1.61538461538462,2.28571428571429,1
114,AHAB,35.2876712328767,1,22,6,1,3,3.46153846153846,4.53846153846154,1
115,AHAB,36.6520547945205,-1,27,17,1,2,3.61538461538462,4,1.4
116,AHAB,45.9260273972603,-1,31,13,1,1,2.46666666666667,4.8,1.66666666666667
117,AHAB,53.9342465753425,-1,37,18,1,1,2.15384615384615,4.21428571428571,1.14285714285714
118,AHAB,48.3780821917808,1,40,4,1,2,1.57142857142857,3.14285714285714,1
119,AHAB,46.3013698630137,-1,27,19,1,3,2.28571428571429,2.88888888888889,1.07692307692308
120,AHAB,42.1123287671233,-1,28,13,1,5,2.46666666666667,4.18181818181818,1.07692307692308
121,AHAB,47.3972602739726,-1,24,14,1,8,3,3.53333333333333,1
122,AHAB,49.6739726027397,1,40,5,1,4,3.14285714285714,3.73333333333333,2
123,AHAB,50.7753424657534,-1,30,22,1,3,3.26666666666667,3.71428571428571,1.06666666666667
124,AHAB,37.8712328767123,1,34,22,1,3,2.92307692307692,3.6,1
125,AHAB,47.5671232876712,-1,33,16,1,1,2.2,3.13333333333333,1
126,AHAB,50.3342465753425,-1,29,12,1,6,2.57142857142857,3.6,1
127,AHAB,46.8054794520548,1,25,7,1,1,3.57142857142857,3.85714285714286,1.46666666666667
128,AHAB,31.2767123287671,1,29,13,1,1,2.06666666666667,2.5,1.2
129,AHAB,43.027397260274,-1,32,18,1,7,2.42857142857143,2.85714285714286,1.4
130,AHAB,47.4109589041096,-1,31,14,1,3,2.46666666666667,3.61538461538462,1.33333333333333
131,AHAB,44.5753424657534,-1,26,7,1,8,4.84615384615385,4.72727272727273,1.84615384615385
132,AHAB,34.3616438356164,1,38,10,1,1,2.53333333333333,3.14285714285714,1
133,AHAB,41.027397260274,1,32,17,1,3,3.26666666666667,3.33333333333333,1.26666666666667
134,AHAB,44.3616438356164,-1,31,17,1,8,3.57142857142857,3.86666666666667,1
135,AHAB,44.3068493150685,-1,27,17,1,1,2.92307692307692,3.86666666666667,1.06666666666667
136,AHAB,46.7205479452055,1,34,16,1,1,3.84615384615385,3.5,2
137,AHAB,46.1616438356164,1,30,14,1,8,3,4.27272727272727,1
138,AHAB,44.3753424657534,1,29,20,1,5,2.2,2.07142857142857,1
139,AHAB,51.2,1,35,17,1,2,2.61538461538462,3.81818181818182,1.07142857142857
140,AHAB,34.1452054794521,-1,34,23,1,3,3.57142857142857,3.64285714285714,1.21428571428571
141,AHAB,35.9123287671233,-1,34,15,1,3,1.64285714285714,1.46666666666667,1
142,AHAB,48.1397260273973,-1,26,25,1,4,2.46153846153846,2.6,1.13333333333333
143,AHAB,32.0821917808219,1,26,13,1,8,2,2.33333333333333,1
144,AHAB,39.2356164383562,1,NaN,NaN,1,2,2.26666666666667,3.78571428571429,1.14285714285714
145,AHAB,45.041095890411,-1,31,19,1,3,2.5,3,1
146,AHAB,49.5890410958904,1,27,11,1,1,3.26666666666667,3.42857142857143,1
147,AHAB,43.9287671232877,1,30,17,1,8,3.07142857142857,3.8,1.30769230769231
148,AHAB,50.4657534246575,1,18,15,1,1,3,3.42857142857143,2.8
149,AHAB,36.3205479452055,1,32,4,1,2,3.8,4.66666666666667,1
150,AHAB,50.1671232876712,-1,31,18,1,1,2.92307692307692,3.84615384615385,1.07142857142857
151,AHAB,52.9561643835616,1,23,14,1,2,1.78571428571429,1.84615384615385,1
152,AHAB,34.0547945205479,1,30,15,1,1,3.93333333333333,4.46666666666667,1.06666666666667
153,AHAB,51.2876712328767,1,28,18,1,2,2.53333333333333,4.4,1.07142857142857
154,AHAB,49.9671232876712,1,25,18,1,8,3.14285714285714,3.42857142857143,1
155,AHAB,39.786301369863,-1,29,18,1,1,2.57142857142857,3.4,1
156,AHAB,51.1616438356164,1,24,14,1,1,2.53846153846154,3,1
157,AHAB,47.2,-1,24,14,1,2,2.06666666666667,4.64285714285714,1.33333333333333
158,AHAB,45.5643835616438,-1,31,22,1,8,2.26666666666667,2.14285714285714,1
159,AHAB,53.5068493150685,-1,27,10,1,3,2.4,4.35714285714286,1.06666666666667
160,AHAB,34.7095890410959,-1,26,19,1,4,2.4,3.07692307692308,1.33333333333333
161,AHAB,41.413698630137,1,35,21,1,1,2.66666666666667,3.23076923076923,1.35714285714286
162,AHAB,51.5671232876712,-1,24,18,1,3,2.8,3.07692307692308,1
163,AHAB,53.2739726027397,-1,42,10,1,1,3.88888888888889,4.18181818181818,1
164,AHAB,40.186301369863,-1,34,9,1,5,1.92857142857143,3.85714285714286,1.5
165,AHAB,43.9068493150685,-1,11,20,1,1,3.64285714285714,3.83333333333333,1.21428571428571
166,AHAB,47.8520547945205,1,35,10,1,1,2.66666666666667,4.58333333333333,1.30769230769231
167,AHAB,49.7671232876712,1,37,13,1,1,2.85714285714286,3.13333333333333,1
168,AHAB,41.7479452054795,-1,33,6,1,1,3.46666666666667,4,1
