SubID,Sample,Age,Sex,ERQReappraisal,ERQSuppression,strategy1_reappraise_yn_final,strategy1_best_fit_final,RegNeg_Rating,LookNeg_Rating,LookNeuRating
115,PIP,47.041095890411,-1,29,14,1,3,3.63636363636364,3.63636363636364,2
116,PIP,44.427397260274,-1,31,24,1,1,3.13333333333333,4.13333333333333,1.2
117,PIP,48.1397260273973,-1,38,16,1,4,4.53333333333333,4.76923076923077,2
118,PIP,44,1,34,17,1,2,1.53333333333333,2.2,1.13333333333333
119,PIP,46.7424657534247,1,28,12,1,4,3,4.71428571428571,1.07142857142857
120,PIP,34.6986301369863,-1,38,22,1,2,2.93333333333333,3.07142857142857,1
121,PIP,42.5178082191781,-1,25,15,1,2,2.53333333333333,3.13333333333333,1
122,PIP,49.7945205479452,1,25,5,1,2,3.14285714285714,4.78571428571429,1.21428571428571
123,PIP,43.8986301369863,-1,24,19,1,8,3.66666666666667,3.66666666666667,1.66666666666667
124,PIP,32.7342465753425,-1,28,19,1,4,1.86666666666667,2.46666666666667,1
125,PIP,41.7205479452055,-1,21,10,1,1,3.2,2.8,1
126,PIP,34.0958904109589,1,39,23,1,8,3.66666666666667,3.28571428571429,1.66666666666667
127,PIP,50.8493150684931,1,35,13,1,2,2.46666666666667,3.86666666666667,1.26666666666667
128,PIP,40.1397260273973,-1,41,15,1,3,3.21428571428571,4.33333333333333,1.2
129,PIP,37.1095890410959,1,28,8,1,4,3.73333333333333,3.92857142857143,1.26666666666667
130,PIP,32.2794520547945,-1,37,16,1,8,2.5,2.71428571428571,1.46666666666667
131,PIP,50.0520547945206,1,41,28,0,9,3.5,3.36363636363636,2
132,PIP,31.0383561643836,-1,34,17,1,2,3.16666666666667,3.28571428571429,1
133,PIP,51.3671232876712,1,34,14,NaN,NaN,3.6,4.5,1.6
134,PIP,42.772602739726,1,31,16,1,1,3.21428571428571,2.77777777777778,1.13333333333333
135,PIP,48.2602739726027,-1,26,17,1,1,4.07692307692308,3.86666666666667,2.07692307692308
136,PIP,49.2712328767123,1,33,15,1,0,4.46666666666667,4.33333333333333,1.06666666666667
137,PIP,30.6438356164384,-1,29,18,1,3,3,4.13333333333333,1.46666666666667
138,PIP,34.3671232876712,1,30,18,1,3,3.26666666666667,3.2,1.28571428571429
139,PIP,40.9698630136986,1,36,12,1,3,4.4,4.2,1.26666666666667
140,PIP,45.7178082191781,-1,30,17,1,2,1.8,3.07692307692308,1
141,PIP,43.5397260273973,-1,26,17,1,3,2.09090909090909,2.90909090909091,1.18181818181818
142,PIP,47.5342465753425,1,28,9,1,4,3.66666666666667,4.15384615384615,1.13333333333333
143,PIP,47.641095890411,1,21,16,1,8,3.73333333333333,3.92857142857143,2.2
144,PIP,51.0493150684932,1,33,16,1,7,3,3.14285714285714,1.14285714285714
145,PIP,44.0602739726027,-1,32,12,1,3,3.46666666666667,4.13333333333333,1.13333333333333
146,PIP,31.2493150684931,-1,25,14,1,1,4.06666666666667,4,1.06666666666667
147,PIP,46.2109589041096,-1,36,11,1,8,2.8,3.4,1.25
148,PIP,41.813698630137,-1,24,14,1,1,3.33333333333333,4.21428571428571,1.33333333333333
149,PIP,41.613698630137,1,34,15,1,2,3.92857142857143,3.92307692307692,1.23076923076923
150,PIP,45.4876712328767,1,32,14,1,4,3.33333333333333,4.2,1.26666666666667
151,PIP,45.5013698630137,-1,33,17,0,9,3,2.5,1
152,PIP,31.2958904109589,-1,33,12,1,3,2.73333333333333,3.13333333333333,1
153,PIP,44.6219178082192,1,28,20,1,8,3.28571428571429,3.93333333333333,1.06666666666667
154,PIP,32.8630136986301,1,39,8,1,4,3.42857142857143,4.26666666666667,1.07142857142857
155,PIP,47.9561643835616,-1,20,14,1,2,2.78571428571429,3.71428571428571,1.06666666666667
156,PIP,47.0739726027397,1,35,6,1,3,3.5,4.69230769230769,1.4
157,PIP,32.0794520547945,-1,34,17,1,3,3.81818181818182,3.33333333333333,2.28571428571429
158,PIP,40.1972602739726,1,25,15,1,5,2.4,2.5,1
159,PIP,31.413698630137,1,33,21,1,2,3.13333333333333,4,1.25
160,PIP,33.827397260274,-1,26,20,0,8,3,2.93333333333333,1.76923076923077
161,PIP,42.6986301369863,-1,29,8,1,2,3,3.85714285714286,1
162,PIP,36.9232876712329,-1,28,17,1,2,3.5,3.26666666666667,1.06666666666667
163,PIP,38.2301369863014,-1,32,14,1,2,3.33333333333333,4,1.2
164,PIP,31.5260273972603,-1,23,9,1,4,3.57142857142857,4.2,1.13333333333333
165,PIP,34.972602739726,1,37,9,1,8,3.06666666666667,3.73333333333333,1.16666666666667
166,PIP,47.6109589041096,1,29,16,1,4,2.53333333333333,2.93333333333333,1.06666666666667
167,PIP,31.7068493150685,1,27,18,1,4,3.26666666666667,3.73333333333333,1.14285714285714
168,PIP,48.8986301369863,1,29,18,1,2,3.78571428571429,4,1.06666666666667
169,PIP,39.4109589041096,1,34,26,1,3,3.33333333333333,4.53333333333333,1.07142857142857
170,PIP,47.8794520547945,1,26,13,1,4,3.28571428571429,3.53333333333333,1.46666666666667
171,PIP,36.7397260273973,-1,35,21,0,1,1.73333333333333,2.33333333333333,1.26666666666667
172,PIP,48.5780821917808,1,24,19,0,9,3.14285714285714,3.18181818181818,1.73333333333333
173,PIP,37.158904109589,1,27,12,1,1,3.25,4.14285714285714,1.06666666666667
174,PIP,44.2027397260274,-1,27,18,1,3,3.46666666666667,3.6,1.26666666666667
175,PIP,40.6246575342466,-1,33,14,1,3,2.85714285714286,4.42857142857143,1.07142857142857
176,PIP,48.7068493150685,-1,33,19,1,2,2.30769230769231,3.5,1
